Date,RECMTREU Index
2023-10-31,1.0
2023-11-30,1.0226960009173063
2023-12-31,1.0503478564628772
2024-01-31,1.0518891445850922
2024-02-29,1.0427007474447414
2024-03-31,1.0554517067499352
2024-04-30,1.046619965814336
2024-05-31,1.0495445466932969
2024-06-30,1.0564410110636755
2024-07-31,1.0744991480249912
2024-08-31,1.077667055099717
2024-09-30,1.0909279994453496
2024-10-31,1.0876047635936013
2024-11-30,1.1045629328206372
2024-12-31,1.1004037214908362
2025-01-31,1.1054162411235937
2025-02-28,1.1118253864553305
2025-03-31,1.1005850495052145
2025-04-30,1.1114613971323508
2025-05-31,1.1175298857900169
2025-06-30,1.120417801077835
2025-07-31,1.126306961662458
2025-08-31,1.126534954974654
2025-09-30,1.1308221625498984
2025-10-31,1.131296815293418
